"Title","Description","Country","Budget","Total Ratio","GDO Classification","Seven Flagship Classification"
"Biodivesity, prevention of risks and reinforcement of resilience","Ecological restoration and help territories and sectors through ecological transition : ecological restoration for road and rail infrastructures, dams…, ecological restaoration of protected areas. Help coastal transformation to more resilience to climate change","France","186","0.46","Green","Other/Uncategorised"
"Blue Deal (Flanders)","A first overarching objective is to increase water retention and infiltration through the creation and restoration of wetlands and valleys, increased water conservation in open space, the stimulation and creation of green-blue veining along watercourses, in the open and built environment, with ample attention to integrated and nature-based solutions. This should include smart data systems that allow for smart control of the existing infrastructure (holding basins, rainwater and wastewater infrastructure, ....) and also a move towards digital monitoring and data collection to facilitate informed (policy) decisions at local or regional scale in periods of drought. A second overarching objective is to arrive at a sustainable and more circular water use and supply in industry, agriculture and horticulture, shipping, households, ... This is done by specifically stimulating effective innovative projects and investments in innovative water-saving technologies, strengthening practical research, providing training and awareness, strengthening cooperation between companies and providing the necessary tools to encourage the actors to make the right choices.","Belgium","290.96","0.05","Other","Other/Uncategorised"
"Blue Green project (Northern Ireland)","The fund will act as a catalyst for creating a greener, cleaner society with improved infrastructure. As part of this fund, the Northern Ireland Executive aims to: •	Increase active travel with an £11 million investment and, in particular, a achieve a greater proportion of shorter journeys made by walking, wheeling and cycling. The Executive will do this by making it easy for people to travel in this way - through infrastructure development, but also through other complementary measures such as simplifying fare/ticketing on public transport and creating pedestrian zones. •	Develop 1000 kilometres of ""greenways"" with a £2.5 million investment - paths that are used my walkers, runners and cyclists - will utilised disused railways, riverside paths, abandoned canal towpaths or flood embankments. The aim is to encourage active transport, whilst revitalised derelict areas.","United Kingdom","24","0.01","Green","Renovate"
"Boost to the governance and sustainable management of Spanish irrigation","It seeks to establish a governance mechanism at the national level, which allows all the stakeholders of the affected sectors to cooperate in all aspects related to Spanish irrigation, such as its sustainability, execution criteria and aspects related to all the applicable regulations.","Spain","0","0","Digital","Other/Uncategorised"
"Boosting the competitiveness of cultural industries","Improve the resilience of the business fabric of cultural and creative industries and complete their digital transition.","Spain","110.875","0.16","Other","Other/Uncategorised"
"Broadband roll-out and the Shared Rural Network","To connect all nations of the UK to high quality broadband, the UK Government is investing: •	£5 billion to accelerate and subsidise the roll-out of UK-wide gigabit broadband. •	£250 million to ensure resilient and secure 5G networks. •	£50 million for the continuation of the 5G Testbeds and Trials Programme in 2021-22.  •	£500 million, matched by industry, through the Shared Rural Network to deliver high-quality 4G mobile coverage from at least one operator across 95% of the UK by 2025. This will have major benefits in rural areas, and for Scotland, Wales and Northern Ireland.","United Kingdom","0","2.12","Digital","Connect"
"Broadband, 5G and satellite monitoring","Interventions for the reduction of the digital divide are planned, favouring the achievement of the European objectives of the Gigabit society. Among the main lines of the project are: • The Italy 1 Gbit/s Plan that provides for the completion of the ultrabroad band project, with initiatives for connecting end user to ultra-fast connectionsand its extension to grey areas. • Fiber optic coverage in public realities considered as a priority (completion of schools Plan; Interventions for the reduction of the digital divide are planned, favouring the health premises Plan; fiber Plan for natural parks; fiber Plan for museums and archaeological sites). • 5G fiber along extra-urban communication routes and disseminations of 5G networks in public sports facilities. • Interventions for the promotion of 5G services and the safety of 5G.","Italy","6310","3.3","Digital","Connect"
"Broadening the Innovation Base (Flanders)","With this reform instruments aimed at stimulating innovation and making it more accessible and adapted to the needs of SMEs are developed. This will require a review of the way the instruments are currently used, an analysis of the problems SMEs encounter in formulating project applications and an adjustment of the conditions and modalities of these instruments.  In addition, awareness of the importance of innovation and guidance to innovation support instruments will be optimized.","Belgium","0","0","Other","Other/Uncategorised"
"Broader tax reform - Burden on labor (Federal)","he government is preparing a general tax reform to modernize the system, simplify it and make the tax system fairer and more neutral. The reform should also lead to an improvement in line with the government's overall commitments that identifies the following points as essential: - Increasing the employment rate - Supporting the climate ambitions - Stimulate entrepreneurship - Stimulating investment - Engaging in the fight against poverty - Supporting families","Belgium","0","0","Other","Other/Uncategorised"
"Building a global Britain","To take advantage of the opportunities that have arisen as a fully sovereign trading nation and ensure the UK builds back better, the UK Government will: •	Support an open and fair-trading system including building consensus on WTO reform. •	Transition trade agreements with 64 countries •	Pipeline four new Free Trade Agreements (FTAs) to reach 80% of UK trade coverage aim by end 2022 •	Create tailored UK tariff policy •	Remove market access barriers overseas •	Create a New Office for Investment to land high-value opportunities aligned with key government priorities, including high-growth sectors, net zero, infrastructure and R&D •	Increase UK Export Finance lending capacity and introducing new products. •	Deepen bilateral relationships outside FTAs","United Kingdom","0","0","Other","Other/Uncategorised"
"Building a greener economy (Northern Ireland)","Northern Ireland Executive’s Department for the Economy will support a greener economy by: •	Delivering a net zero carbon energy transition;  •	Encouraging green innovation in renewables and low carbon technologies;  •	Developing a Circular Economy;  •	Enabling a low carbon workforce; and  •	Working collaboratively across Government on a green growth approach to recovery.","United Kingdom","0","0","Green","Renovate"
"Building energy rehabilitation program (PREE)","This program consists of promoting the energy renovation of existing residential buildings and buildings for other uses, through energy saving and efficiency actions and the incorporation of renewable energies, which reduce final energy consumption and carbon dioxide emissions.","Spain","300","0.43","Green","Renovate"
"Bus with a high level of service (Wallonia)","The Bus with High Level of Service project addresses key challenges: 1.	Improve mobility on the region's most congested link by promoting a modal shift to a mode of transport that can truly compete with the car, both intrinsically (comfortable, fast, regular service, generous timetable) and by providing ""P+R"" facilities judiciously distributed along the link, and also by developing stops that are accessible to persons with reduced mobility, this with a view to intermodality, also involving train and bicycle (secure parking facilities and connections to the bicycle route network); 2.	Revitalize the area by acting on its productivity/attractiveness, by improving the accessibility and efficient operation of the existing economic activities and the old industrial sites that are often vacant (this while they are available to investors!) and by urban renewal through the beautification of the living environment (redesigning the public space from facade to facade around a main axis) and the creation of meeting places; 3.	Promoting inclusion and employment through access to efficient mobility to places of care, training, work, leisure, etc. for a very dense and socio-economically disadvantaged population, this particularly through the improvement of public transport for all ( young and old, able-bodied and disabled), to meet the need for greater mobility and autonomy, particularly in relation to employment and health;","Belgium","24.79","0","Other","Recharge and Refuel"
"Carbon markets working group","A new working group with the aim of positioning the UK and the City of London as the leading global market for high quality voluntary carbon offsets.","United Kingdom","0","0","Green","Modernise"
"Carbon, capture, use and storage (CCUS) (Scotland)","To support carbon capture and storage projects, The Scottish Government will: •	Commission a suite of research projects for CCUS. •	Continue to support the North East CCUS (NECCUS). NECCUS activities include delivery of the Scottish Net Zero Roadmap, and representing Scotland at UK and European industrial cluster discussions. This is the second phase of work funded through the Industrial Strategy Challenge Fund.  •	Develop a £5 million Carbon Capture and Utilisation Challenge fund, which will deliver funding to projects from April 2022 for two years.","United Kingdom","6","0","Green","Other/Uncategorised"
"Carrier bag minimum charge increase (Scotland)","To encourage more sustainable consumer purchasing, the Scottish Government will increase the carrier bag minimum charge from 5p to 10p. The Government will also consult on banning a number of problematic plastic items identified in the EU's Single Use Plastics Directive and plan to consult on a charge on single-use disposable beverage cups.","United Kingdom","0","0","Green","Other/Uncategorised"
"Center for Digitization and Technology Research","The center functions as a driver for university-based digitization and technology research in the German Armed Forces, while also paving the way for increasing the national availability of digital and technological innovations for public and private sectors as a whole.","Germany","700","2.39","Digital","Other/Uncategorised"
"Central BI – Data Analytics","The investment aims to enable the public administration to maximise the value it obtains from its data via the implementation of a Central Business Intelligence – Data Analytics Platform. The platform will allow public administration agencies to draw, integrate, and interpret data from any source and use them to analyse information that affects their operations and workflows, thus, facilitating decision-making","Greece","16","0.09","Digital","Modernise"
"Central document management system","Implementation of a Central Document Management system which will capture, store, and retrieve paper and electronic documents. This system will facilitate interoperability between public sector organisations and accelerate the processing of citizens’ and businesses’ cases and service requests.","Greece","5","0.03","Digital","Modernise"
"Central Greece highway E-65 North part","This project concerns the full construction (main road, service roads / connecting roads and supplementary works), of a total length of 70 km of the northern section of the E65 Motorway, specifically the Trikala – Egnatia section. The motorway, which will improve connectivity between Southern Greece, Thessaly and Western Macedonia, on the one hand, and the Western Balkans and the rest of Europe (through the port of Igoumenitsa), on the other, is part of the Trans-European Transport Network (TEN-T).","Greece","452","2.48","Other","Other/Uncategorised"
"Centres of excellence for digital and digitally supported teaching","Centres of excellence for digital and digitally supported teaching will support the development and training of teaching skills.","Germany","205","0.7","Digital","Reskill and Upskill"
"Charging infrastructure (Brussels Capital Region)","In June 2020, the Government of the Brussels Capital Region validated the strategy for the deployment of an electric vehicle charging infrastructure, with a target of 11,000 publicly accessible charging points by 2035. It responds to the regional ambitions to decarbonize transport, which led in particular to the establishment of the low emission zone, whose milestones and timetable for the period 2025-2035 will soon be the subject of a decree that will translate the government's decision in principle to aim for ""zero emissions"" with a ban on diesel vehicles by 2030 at the latest and gasoline/LPG by 2035 at the latest.","Belgium","0","0","Green","Recharge and Refuel"
"Charging infrastructure (Federal)","The project aims to facilitate the transition of (passenger) cars on fossil fuels to electric cars and to accelerate the rollout of charging infrastructure, necessary to make these cars emission-free and therefore essential in the green transition.","Belgium","32","0.01","Green","Recharge and Refuel"
"Charging infrastructure (Flanders)","The Flemish Government confirmed in December 2020 its ambition to roll out 30 000 additional charge point equivalents (CPE) by 2025 (concept note 'approach to rolling out charging infrastructure 2021-2025'). Flanders wants to support the rollout of infrastructure for alternative fuels: normal and (ultra)fast (semi-)public charging points, emission-free logistics, cabs and shared mobility, highway concession zones, truck parks and park & rides and (private) truck depots. Support will be through financial incentives and subsidy calls.","Belgium","29.46","0","Green","Recharge and Refuel"
"Charging infrastructure (Wallonia)","The rollout of alternative fuel infrastructure, and more specifically electric vehicle charging points, must be able to respond to specific needs or mobility requirements. Therefore, a three-pronged approach is needed in densely populated centers where private parking is difficult, in shopping areas (public or private), and on the axes for through traffic. The objective is to have a complete regulatory and support framework that will allow the various challenges identified to be met. This framework must comply with European texts.","Belgium","0","0","Green","Recharge and Refuel"
"Child Protection","This bundle of projects aims to enhance overall child protection. The reforms are targeted to (a) newborn, infants and toddlers, (b) adolescents and (c) minors with severe disabilities and/or severe mental disorders, and the goals of the provded support are: 1) enhancing the cognitive and mental development of children, 2) successfully addressing stigma and discrimination and 3) further enhancing their living in a supported independent scheme or under foster care. The projects, thus, emphasise early childhood developmental intervention and reform (Reform 1, Investment 2 and 3) and a policy of deinstitutionalisation (Reform 2 and Investment 1). ● Reform 1: Development of a comprehensive curriculum and program for schools aiming at the cognitive development of infants from 3 months to 4 years, to prepare them for a smooth integration into primary education. ● Reform 2: Placement of minors, with severe disability (over 67%) and / or severe mental disorders, in the care of professional foster carers. ● Investment 1: Transfer of adolescents from Child Protection Units (CPUs) to Supported Independent Living apartments (SILs) with the aim of deinstitutionalisation, skills’ building and improvement of employability. ● Investment 2: Subsidisation of new early childcare centres or capacity in existent childcare centres for babies starting from 2 months until 2.5 years old (baby centres) ● Investment 3: Establish Centres of Creative Activities through Technology – STEM Centres for Children.","Greece","184","1.01","Other","Other/Uncategorised"
"Child protection and holistic family support (Scotland)","The Scottish Government is investing in social protection with the aim of protecting children and the most vulnerable individuals. To do so, the Scottish Government aims to: •	Establish an Oversight Board. •	Investing £4 million in the Promise Partnership which will help embed and scale-up holistic family support, promoting early intervention and prevention. •	Legislate the Redress for Survivors (Historical Child Abuse in Care) Bill to provide financial support to those the system had previously failed. •	Consult on and publish a National Guidance for Child Protection. •	Fully and directly incorporate the United Nations Convention on the Rights of Children into Scots law.","United Kingdom","5","0","Other","Other/Uncategorised"
"Childcare (Wales)","To provide increased support for children, the Welsh Government aims to restart the Childcare Offer and establish a Childcare Provider Grant to provide affordable and flexible childcare for working parents and to support child development. In addition, the Welsh Government is boosting the Childcare Development Fund by £3.5 million to increase support for the youngest children with language development and personal and social development and those at risk of developmental delay due to lockdown. Funding is in place until October 2021.","United Kingdom","33","0.01","Other","Other/Uncategorised"
"Childcare Financing","With the ""Childcare Financing"" investment program, the federal government provides financial assistance to the states and municipalities for investments in daycare facilities and for daycare for children.","Germany","500","1.71","Other","Other/Uncategorised"
"Circular Building and the manufacturing industry (Flanders)","This project aimd to support a scale-up to the circular economy in two key areas, circular construction and circular manufacturing, over the next two years. This will be done by deploying a mix of support for innovation and entrepreneurship in alignment with the relevant work agendas within the transition Flanders Circular.","Belgium","25","0","Green","Other/Uncategorised"
"Circular economy and  valorisation of the integrated waste cycle - Construction of new plants and modernisation of existing recycling plants","The aim will be the adaptation of existing installations and the construction of new installations for the closure of the waste cycle with the production of secondary raw materials. The planned interventions are aimed in particular at addressing critical situations in waste management in the large metropolitan areas of Central and Southern Italy","Italy","1500","0.78","Green","Other/Uncategorised"
"Circular Economy Fund (Wales)","The Welsh Government will expand the Circular Economy Funding for businesses, local authorities and publicly funded bodies (including town and community councils) to support a green recovery from coronavirus. The second round of the Fund will fund around 50 additional projects which contribute to the green recovery and aid in the shift to a circular economy for Wales.","United Kingdom","15","0","Green","Modernise"
"Citizens assembly on government funding (Scotland)","The Scottish Government will establish a working group with representation from the Scottish Green Party to oversee the development of effective deliberative engagement on sources of local government funding, including Council Tax, that culminate in a citizens’ assembly. The working group would agree joint sponsorship of the deliberative engagement by the Scottish Government and the Scottish Green Party. This will include agreeing: •	The forms of deliberative engagement to use, at local and national level.  •	A trusted governance structure, the scale and scope of the work, including a remit and questions for participants. •	The scrutiny and oversight required to ensure balanced evidence from a range of experts. •	The form of outputs of these deliberative engagements, and roles regarding responding to recommendations. To support this the Scottish Government also agrees to: •	Set timescales for the delivery and completion of this work within the current parliamentary session. •	Commission sortition recruitment to an agreed weighting, and commission an agreed design and delivery of the process.","United Kingdom","2","0","Other","Other/Uncategorised"
"City and Growth Deals","Joint collaborations between government, devolved administrations, local and regional authorities, which invest in the growth and potential of local industries. To accelerate local economic priorities, £25.8 million will be brought forward over the next five years for three City and Growth Deals in Scotland (Ayrshire, Argyll & Bute, and Falkirk) and £58.7 million will be brought forward over the next five years for three City and Growth Deals in Wales (Swansea, north Wales and mid-Wales). The UK Government is also investing £617 million in four City and Growth Deals in Northern Ireland, to be supported by over £550 million by the Northern Ireland Executive. The UK government will invest almost £2.9 billion in total over the lifetime of the Deals. The UK Government will also continue to invest in Transforming Cities Fund to 2022-23.","United Kingdom","838","0.26","Other","Renovate"
"City Region and Growth Deal programme (Scotland)","The Scottish Government programme aims to support economic recovery and boost long term inclusive and sustainable growth. Funding will enable key projects to be realised across the Deals in delivery, such as the Tay Cities Biomedical Cluster, Inverness Castle and the Great Harbour project. This includes £50 million investments for both the future Falkirk and Islands Deals; and a £3 investment to an innovative community wealth building pilot through the Ayrshire Regional Growth Deal to strengthen local economies.","United Kingdom","0","0.69","Other","Renovate"
"CivTech (Scotland)","The Scottish Government will extend the CivTech innovation programme, currently in its fourth year of running, which encourages government agencies to use technology to solve problems. This will further build the programme and expand its role at the heart of an international alliance of similar organisations that are stimulating innovation in the government tech sector.","United Kingdom","0","0","Digital","Reskill and Upskill"
"Clean Maritime Demonstration Programme","The UK Government aims to develop clean maritime technology, including hydrogen, to achieve savings of 1 MtCO2e by 2032.","United Kingdom","24","0.01","Green","Power Up"
"Climate Action Towns (Scotland)","The aim is to introduce a network of regional hubs across Scotland that will empower communities to develop local solutions to making the transition to net zero and climate resilient living. The network of Climate Action town will support communities to cut emissions and become carbon neutral. This funding will be provided annually.","United Kingdom","1","0","Green","Other/Uncategorised"
"Climate Emergency Skills Action Plan (Scotland)","The Scottish Government's plan to help the people of Scotland retrain and reskill into good, green jobs. It focuses around key sectors which will play a leading role in economic recovery and net‑zero: energy transition; construction; transport; manufacturing; and agriculture and land use management.","United Kingdom","0","0","Green","Reskill and Upskill"
"CO2-building refurbishment: federal funding for efficient buildings","Funding is provided for the construction and refurbishment of residential buildings to efficiency house standards whose energy requirements and CO2 emissions are significantly below the statutory requirements. In particular, innovative energy-efficient refurbishments or new buildings by public-sector companies are also eligible for funding.","Germany","2500","8.53","Green","Renovate"
"Coastal change adaptation (Scotland)","The Scottish Government is providing funding for coastal change adaptation to assist Scotland in adapting to the threat of sea level rise and protect its natural coastal defences from erosion.","United Kingdom","14","0","Green","Renovate"
"Codification and simplification of tax legislation, rules and procedures","This key reform will streamline the major tax codes and the customs code, and all relevant legal provisions, and make them easily accessible to taxpayers, thus, enhancing transparency and legal certainty, improving tax compliance and the business environment.","Greece","2","0.01","Other","Other/Uncategorised"
"Combating discrimination in the labor market (Federal)","The project aims to break certain mechanisms of structural discrimination. To this end, it must be able to identify the sectors in which these discriminations persist. Discrimination in the workplace must be quantified through scientific monitoring of diversity and discrimination, which will be introduced at the sector level. It is also important to improve the applicability of discrimination tests. To this end, the legal framework and available tools should be improved and targeted checks should be strengthened.","Belgium","0","0","Other","Other/Uncategorised"
"Combating illegal trade and protecting intellectual property","The proposed reform will step up the fight against illegal trade by means of strengthening the responsible agency with staff training and recruitment, appropriate IT systems, equipment and control checkpoints.","Greece","16","0.09","Digital","Modernise"
"Commercial property","The UK Government has implemented a range of measures to support commercial property tenants and landlords, including: •	A moratorium on landlords’ right to evict tenants for non-payment of rent that has accrued during the pandemic. •	Suspending the use by landlords of statutory demands and winding up petitions to pursue unpaid rent that has accrued during the pandemic. •	Extending the period of rent arrears required before landlords can use Commercial Rent Arrears Recovery (CRAR) to seize tenants’ goods in lieu of unpaid rent. •	Working with the financial regulators to issue a joint statement encouraging investors and lenders to exercise forbearance in relation to the impact that the pandemic may have on loan covenants.","United Kingdom","0","0","Other","Other/Uncategorised"
"Community Ownership Fund","A UK Government fund to allow communities across the UK to invest and protect the assets that matter most to them such pubs, theatres, shops, or local sports clubs.","United Kingdom","179","0.05","Other","Renovate"
"Community Treatment and Assessment Centres (Scotland)","The Scottish Government aims to develop a nationwide network of community treatment centres to help patients manage their conditions and get treatments closer to home.","United Kingdom","0","0.77","Other","Other/Uncategorised"
"Community Treatment and Pharmacy First (Scotland)","To reduce demand on emergency health and social care systems, the Scottish Government is: •	Investing £1.9 billion in Community Treatment and Assessment Centres to increase the use of primary care facilities •	Investing £7.5 million in the Pharmacy First programme – a programme that aims to improve access to community-based health services for minor illnesses.","United Kingdom","0","0.7","Other","Other/Uncategorised"
"Community wealth building (Scotland)","The Scottish Government will develop a Community Wealth Building Bill that will focus on encouraging diverse inclusive local economies, finance, land, and ownership models. It will include:  •	Working within and developing procurement practices to support local economies and improved access to training and labour markets for disadvantaged communities and individuals. •	Encouraging public kitchens, including school canteens, to source more food produced by local businesses and organic producers.  •	Where possible, to base public sector capital and revenue funding decisions on targeted social, economic and environmental outcomes. Building on previous work through the regional growth deal, the Scottish Government has also committed to working with five additional areas to produce bespoke community wealth building action plans.","United Kingdom","0","0","Other","Renovate"
"Community-based health services (Wales)","The Welsh Government will roll-out community-based endoscopy services in local town centres to catch up on the backlog created as a result of the pandemic.","United Kingdom","1","0","Other","Other/Uncategorised"
"Complementary funds to ""Transitions Pro""for financing profesional transition","Exceptionnal dotation to ""France competences"" for increasing the number of projects of professional transition in 2021","France","100","0.25","Other","Reskill and Upskill"
"Complementary Plans with Autonomous Communities","New mechanism for the execution of R & D & I policies coordinated between the State and the Autonomous Communities","Spain","282.166","0.4","Other","Other/Uncategorised"
"Comprehensive Reform of the University System","Comprehensive reform of the university system based on the following fundamental objectives: 1. Promote access to higher education, 2. Adjust the organization of university education, 3. Guarantee good governance of university institutions and promote research, transfer and the mobility of teaching and research staff and 4. Guarantee the quality and good governance of university institutions.","Spain","0","0","Other","Reskill and Upskill"
"Connectivity bonds for SMEs and vulnerable groups","The goal is to finance the costs of connectivity for SMEs and vulnerable social groups.","Spain","80","0.11","Digital","Other/Uncategorised"
"Conservation of terrestrial and marine biodiversity","Updating of regulations and planning on Biodiversity and Natural Heritage, together with a series of investments, to comply with the commitments derived from the Convention on Biological Diversity and the recently approved EU Strategy on Biodiversity to 2030.","Spain","0","0","Green","Other/Uncategorised"
"Conservation of terrestrial and marine biodiversity","It is a set of actions aimed at the conservation of both terrestrial and marine biodiversity.","Spain","551.6","0.78","Green","Other/Uncategorised"
"Consolidation of cohesion, equity and universality","It is intended to further strengthen universal access to health, equity in access to health care and cohesion between the different territories of the country.","Spain","0","0","Other","Other/Uncategorised"
"Construction of 13 regional civil protection centers","13 Regional Operations Centers of the latest technology for Civil Protection are being constructed using the PPP method. This makes risk and crisis management more timely and effective at regional level as well.","Greece","19","0.1","Green","Other/Uncategorised"
"Construction of public utility houses and housing for vulnerable people (Wallonia)","In a cross-cutting manner, the project aims to de-institutionalize vulnerable and/or less autonomous people by strengthening a diversified offer of community-based housing and facilities. The places created will make it possible to avoid admissions to reception structures for the disabled and to rest homes, as well as to avoid admissions to hospitals (including psychiatric institutions) and to reduce their number and duration. The strategic objective of de-institutionalization constitutes a paradigm shift that can be compared to a reform.","Belgium","165.8","0.03","Other","Other/Uncategorised"
"Continuity Bill (Scotland)","Guided by Scotland's Environment Strategy’s vision and outcomes, the Scottish Government will make all necessary adjustments to laws and policies to maintain or improve environmental standards. They will implement measures in the Continuity Bill, so that Scottish environmental policies continue to keep pace with EU environmental principles and to ensure Scotland has proportionate, effective environmental governance. This will include a new environmental governance  body, Environmental Standards Scotland.","United Kingdom","0","0","Green","Other/Uncategorised"
"Cooperative model","Promote adherence to the Codes of Good Practices of Large Companies, Associations and Associations of Tax Professionals and Tax Advisors that have already been approved.","Spain","0","0","Other","Other/Uncategorised"
"COVID-19 suppression and elimination (Scotland)","Continue to suppress, and preferably eliminate, COVID-19 and provide support to those who have the virus or are recovering from it, focussing on physical and mental health and social support. The Scottish Government will: •	Launch a new proximity app, Test and Protect, in September. •	Create an alert service for those who previously had to shield to advise of localised risk factors. •	Commission and implement recommendations from an Expert Reference Group on COVID-19 and Ethnicity •	Build a Scottish Personal Protective Equipment (PPE) supply chain. •	Work with partners across the UK to enable and deliver world class COVID 19 research.","United Kingdom","0","0","Other","Other/Uncategorised"
"Create places for study pursuance for young ""bachelier""","Create 30 000 new places in higher education for accompnying young people against COVID-19 crisis","France","180","0.44","Other","Reskill and Upskill"
"Creating a hydrogen economy (Northern Ireland)","To support the creation of a hydrogen economy in Northern Ireland, the Northern Ireland Executive will:  •	Fund NI Water to undertake an innovative Oxygen and Hydrogen Demonstrator Project. This will be the first in the UK and Ireland to demonstrate how electrolysis can help to increase processing capacity, reduce carbon emissions and improve flexibility in the electricity grid. •	Support local councils to develop proposals for a hydrogen training hub.","United Kingdom","0","0","Green","Power Up"
"Creating a Skills Ecosystem (Northern Ireland)","The Northern Ireland Executive will support the development of a new Skills Ecosystem, this includes the development of a Northern Ireland Skills Council, a new approach to engagement at a local level. To support Northern Irish citizens in developing skills in key areas, the NI Executive will also:  •	Support 100 individuals to get an export and trade qualification, focusing on processes around cargo operation, payment and insurance. •	Support the Screen Industry Reboot, a 4-month training programme for the video games industry developed and delivered by NI Screen.","United Kingdom","0","0","Other","Reskill and Upskill"
"Creating green finance and investments","The UK Government will introduce the mandatory reporting of climate-related financial information across the economy by 2025 in line with the recommendations of the Taskforce on Climate-Related Financial Disclosures (TCFD) and implement a green taxonomy to provide a common standard for measuring firms’ environmental impact to guide investors and ensuring financial regulators take climate change and the environment into consideration in exercising their statutory functions.","United Kingdom","0","0","Green","Other/Uncategorised"
"Creation of a committee of experts for tax reform","Creation of a committee of experts to advise the Ministry of Finance in the adoption of appropriate decisions in the reform of the tax system.","Spain","0","0","Other","Other/Uncategorised"
"Creation of an integrated customer relationship management system (crm) with citizens and businesses & development of central licensing node","Design, development and implementation of an IT system for handling transactions and interactions between the public administration and individuals or businesses. Upon its completion, the project will offer an advanced level of personalised services carried through a single digital point. This would include, for example, the issuance of any type of license/permit (e.g. building, operating, environmental).","Greece","80","0.44","Digital","Modernise"
"Creation of childcare units within large companies","The programme provides funding for the creation and equipment of childcare units in the premises of larger companies, creating a bundle of support that enhances the attractiveness of the investment to the relevant stakeholders and companies. It aims to enhance work-life balance and promote measures that actively support the employment of young parents","Greece","14","0.08","Other","Other/Uncategorised"
"Creation of eight freeports around the UK.","The UK Government aims to create eight new freeports, areas subject to different rules and regulations and exempt from tax charges, in England and hold discussions between the devolved administration to ensure the delivery of Freeports in Scotland, Wales and Northern Ireland as soon as possible.","United Kingdom","208","0.06","Other","Other/Uncategorised"
"Creation of Personal and Family Accompaniment and Guidance Units for educationally vulnerable students, in educational or psycho-pedagogical services located in school zones and districts.","These Units will facilitate support for students with difficulties in meeting the demands of formal education and in overcoming the obstacles created by the education and training system (educationally vulnerable students).","Spain","124.71","0.18","Other","Other/Uncategorised"
"Creation-expansion–upgrade_ of infrastructures of research centers supervised by GSRI","The proposed investment aims to upgrade the infrastructure of 14 Research Centres, in order to enhance their research capacity and capabilities in important areas of science and technology","Greece","207","1.14","Other","Other/Uncategorised"
"Cretan Northern highway","The project concerns the construction of the Cretan Northern Highway (BOAK), which will connect the four major cities of Crete (Chania, Rethymno, Heraklion and Agios Nikolaos) and is part of the Trans-European Transport Network (TEN-T).","Greece","427","2.35","Other","Recharge and Refuel"
"Cross-cutting digital competences","It includes 4 specific measures: 1) Development of a network of support centers for digital training, 2) Specific actions for digital inclusion, 3) Training actions for digital citizenship and 4) Program to promote digital training for women and scientific-technological vocations at school.","Spain","735.2","1.04","Digital","Connect"
"Cultural heritage Next Generation - Digital platforms and strategies for access to cultural heritage","This investment is planned to increase, organise and integrate the immense digital heritage produced over the years from archives, libraries, museums and in general places of culture, to allow new experiences of use for citizens and operators and to improve the supply of services. This important effort to digitise cultural heritage will be accompanied by the development of an infrastructure for the collection, conservation and access to digital resources.","Italy","500","0.26","Digital","Modernise"
"Cultural heritage Next Generation - Improving energy efficiency in cinemas, theatres, and museums","The investment aims to improve energy efficiency in cinemas, theaters and museum that are often located in old buildings with low level of efficiency. Ultimately, this means high costs of cooling, lighting, communication, and security.","Italy","300","0.16","Digital","Renovate"
"Cultural heritage Next Generation - Improving physical and cognitive accessibility to libraries, museums, and archives","The intervention involves the realisation of a strategic plan for the elimination of architectural barriers (P.E.B.A) sensorial-perceptive, cultural and cognitive, interventions of physical accessibility, sensorial-perceptive, cultural and cognitive and widespread use in the places of Italian culture and the creation of an information system for the quality of the use of the cultural heritage by people with specific needs.","Italy","300","0.16","Digital","Connect"
"Cultural routes at emblematic archeological sites and monuments","This project concerns the design of five emblematic cultural routes with thematic narratives that will cover all periods of the Greek history and will be geographically spread throughout the country. The monuments and sites that have been selected so as to create synergies with tourist destinations, thus, acting as a driver of sustainable growth and economic, social and territorial cohesion. The actions proposed include the preservation and restoration of selected monuments, the upgrade of services and infrastructure, the development of interactive digital applications, and the inclusion of arts and cultural events.","Greece","11","0.06","Other","Other/Uncategorised"
"Culture 4.0 - Development of film industry (Cinecittà project)","Investment in the development of the film industry are planned, through the enhancement of Cinecittà film studios to improve the quality and quantity of production supply, increase the attractiveness of major national, European and international productions and be able to compare with major international competitors. The activities of the Centro Sperimentale di Cinematografia Foundation will be relaunched through the development of infrastructures for professional and educational use through e-learning, Digitization and modernisation of buildings and installations and through investment in training, in order to strengthen the professional skills and competences in the audiovisual sector.","Italy","300","0.16","Digital","Other/Uncategorised"
"Culture 4.0 - Minimum environmental standards for cultural events","The aim of the reform is to improve the ecological footprint of cultural events, including music events, exhibitions, festivals, and cultural events. Thus, environmental and social criteria are included when sich events are publicly funded or co-organized with Public Authorities.","Italy","0","0","Digital","Other/Uncategorised"
"Culture 4.0 - Support for cultural operators in the green and digital transition","Investments are planned to support cultural operators in the green and digital transition, through interventions aimed at: promoting cultural demand and participation, encouraging the technological transition of cultural operators and the active participation of citizens; improving the ecosystem in which the cultural and creative sectors operate, supporting integration between creative hubs and territory through technological innovation.","Italy","160","0.08","Digital","Other/Uncategorised"
